epoch,accuracy,loss,val_accuracy,val_loss
0,0.3681151270866394,1.3262877464294434,0.4495677351951599,1.2594298124313354
1,0.6590091586112976,0.9817010760307312,0.6887608170509338,0.8773663640022278
2,0.7996125221252441,0.5825144052505493,0.7146974205970764,0.7530930638313293
3,0.8522003889083862,0.41097259521484375,0.7031700015068054,0.7280951738357544
4,0.8840298652648926,0.3221430480480194,0.7060518860816956,0.7767001390457153
5,0.9139219522476196,0.2649645209312439,0.6829971075057983,0.8477092981338501
6,0.9274840950965881,0.21859855949878693,0.6916426420211792,0.866875171661377
7,0.9440907835960388,0.18372736871242523,0.6887608170509338,0.9098549485206604
8,0.9576529264450073,0.14916200935840607,0.6714697480201721,1.0390077829360962
9,0.9601439237594604,0.13466936349868774,0.6829971075057983,1.0630152225494385
10,0.9645723700523376,0.11714599281549454,0.6858789920806885,1.144714117050171
11,0.9673401713371277,0.10844097286462784,0.6714697480201721,1.1498287916183472
12,0.9695543646812439,0.09879866242408752,0.6772334575653076,1.1692042350769043
13,0.9748131632804871,0.08876042813062668,0.6858789920806885,1.287914752960205
14,0.9706615209579468,0.08861128240823746,0.651296854019165,1.2911912202835083
15,0.974259614944458,0.08674638718366623,0.6743515729904175,1.2888199090957642
16,0.9753667116165161,0.07684903591871262,0.680115282535553,1.3164302110671997
17,0.9761970639228821,0.07115573436021805,0.6772334575653076,1.3889485597610474
18,0.9753667116165161,0.07285141199827194,0.6743515729904175,1.430519700050354
19,0.9748131632804871,0.07202775031328201,0.6714697480201721,1.4500054121017456
20,0.9753667116165161,0.0677766352891922,0.680115282535553,1.4197827577590942
21,0.9778577089309692,0.06431878358125687,0.6714697480201721,1.4873414039611816
22,0.9792416095733643,0.060550421476364136,0.6714697480201721,1.4630849361419678
23,0.9803487658500671,0.05725632235407829,0.680115282535553,1.5005122423171997
24,0.9795184135437012,0.05724713206291199,0.6657060384750366,1.5141006708145142
